Index;Word
1;affranchisseuse
2;agent d'affaires
3;agriculteur
4;amidonnier
5;ancien négociant et rentier
6;apprenti
7;architecte
8;armurier
9;as
10;aubergiste
11;avocat
12;banquier
13;barbier
14;batelier
15;blanchisseuse
16;boucher
17;boulanger
18;bucheron
19;carrier
20;cartonnier
21;chapelier
22;chargeur
23;charpentier
24;charretier
25;chaudronnier
26;chirurgien
27;cloutier
28;codeur
29;coiffeur
30;commis
31;commis négociant
32;commissaire
33;commissaire de police
34;conducteur de diligences
35;confiseur
36;cordonnier
37;couturiere
38;couvreur
39;cuisinière
40;cultivateur
41;dentiste
42;directeur de poste
43;docteur en droit
44;domestique
45;ecrivain
46;emailleur
47;employé
48;employé otl
49;entrepreneur
50;epicier
51;epicière
52;fabricant
53;fabricant de coton
54;facteur
55;facturier
56;ferblantier
57;fermier
58;fileur
59;fileuse
60;filtier
61;fondeur
62;forestier
63;friseur
64;fûtier
65;gantier
66;garde
67;garde forestier
68;geôlier
69;graveur
70;greffier
71;gypsier
72;gérant de division
73;horloger
74;huissier
75;imprimeur
76;inspecteur
77;instituteur
78;institutrice
79;jardinier
80;journalier
81;journalier agricole
82;journalier et propriétaire
83;journalière
84;juge au tribunal
85;juge d'appel
86;laboureur
87;laitier
88;lampiste
89;libraire
90;locataire
91;machiniste
92;macon
93;malletier
94;manoeuvre
95;manoeuvre ardoisier
96;manœuvre
97;marbrier
98;marchand
99;marchand ambulant
100;marchand de soufflets
101;marchand de vin
102;marchand épicier
103;marchande
104;marchande de couronnes
105;maréchal
106;maréchal ferrant
107;maîtresse d'école
108;medecin
109;menuisier
110;meunier
111;ministre
112;modiste
113;mécanicien
114;negociant
115;negot.
116;notaire
117;négociante
118;orfèvre
119;ouvrier en parapluies
120;ouvrier papetier
121;ouvrier potier
122;ouvrier vitrier
123;ouvrière
124;pasteur
125;peintre
126;perruquier
127;pharmacien
128;pontière
129;porteur de valises
130;potier de terre
131;poêlier
132;prefêt
133;procureur
134;professeur
135;proprietaire
136;propriétaire et négociant
137;propriétaire et rentier
138;pêcheur
139;regent
140;relieur de livres
141;rentier
142;rentier ancien géomètre
143;rentiere
144;repasseuse
145;riveuse
146;rotativiste
147;roto
148;sage femme
149;sans profession
150;secrétaire
151;secrétaire au
152;serrurier
153;sonneur
154;tailleur
155;tailleur de pierre
156;tailleuse
157;tapissier
158;tapissière
159;teinturier
160;tisserand
161;tonnelier
162;tourneur
163;traiteur
164;tueur de porcs
165;tuilier
166;vendeur de vin
167;vigneron
168;vigneronne
169;violoniste
170;voiturier
171;émouleur
